,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,ratio_per_person
50,22,71,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4.0,No,College,Moderate,Male,64,0.30985915492957744
51,18,68,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3.0,No,College,Near,Male,64,0.2647058823529412
52,16,86,Low,Medium,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,67,0.18604651162790697
53,24,77,High,Low,No,8,96,Medium,Yes,0,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Female,67,0.3116883116883117
54,26,67,Medium,High,Yes,7,51,Low,Yes,2,High,High,Private,Neutral,4.0,Yes,Postgraduate,Far,Female,66,0.3880597014925373
55,26,88,Medium,High,Yes,5,79,Medium,Yes,1,Low,High,Private,Positive,4.0,No,College,Moderate,Male,72,0.29545454545454547
56,15,83,Medium,High,No,5,89,Low,No,1,Medium,High,Public,Neutral,2.0,Yes,High School,Near,Female,65,0.18072289156626506
57,18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,71,0.19148936170212766
58,22,65,High,Low,No,8,82,Medium,Yes,2,Medium,High,Public,Positive,1.0,No,Postgraduate,Near,Female,66,0.3384615384615385
59,26,91,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,Neutral,3.0,No,High School,Moderate,Male,68,0.2857142857142857
60,17,87,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5.0,No,Postgraduate,Near,Female,70,0.19540229885057472
61,19,65,Medium,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,Positive,3.0,No,High School,Moderate,Male,62,0.2923076923076923
62,13,88,Low,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4.0,No,Postgraduate,Far,Male,68,0.14772727272727273
63,13,78,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,3.0,No,College,Moderate,Male,67,0.16666666666666666
64,25,98,Low,High,Yes,8,56,Medium,No,0,Medium,High,Private,Neutral,3.0,No,Postgraduate,Near,Male,71,0.25510204081632654
65,28,66,Medium,High,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2.0,No,High School,Near,Male,68,0.42424242424242425
66,20,86,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,3.0,No,Postgraduate,Near,Male,69,0.23255813953488372
67,26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2.0,No,High School,Moderate,Male,70,0.3466666666666667
68,22,98,Medium,High,No,5,69,Low,No,1,Low,High,Public,Negative,4.0,No,High School,Moderate,Female,69,0.22448979591836735
69,16,73,Medium,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,Negative,4.0,No,College,Near,Male,65,0.2191780821917808
70,22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3.0,No,College,Near,Female,70,0.22448979591836735
71,29,96,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3.0,No,High School,Moderate,Male,71,0.3020833333333333
72,20,71,Medium,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,Neutral,4.0,No,College,Near,Female,65,0.28169014084507044
73,29,92,Low,Medium,No,4,91,Medium,Yes,2,Medium,Medium,Public,Negative,1.0,No,Postgraduate,Near,Female,72,0.31521739130434784
74,4,100,High,High,Yes,8,60,High,Yes,0,Medium,High,Private,Positive,4.0,No,College,Moderate,Male,69,0.04
75,25,70,Medium,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,Positive,3.0,No,Postgraduate,Near,Female,66,0.35714285714285715
76,21,77,Low,Medium,Yes,7,90,Medium,Yes,4,Medium,Medium,Private,Neutral,3.0,No,Postgraduate,Moderate,Male,68,0.2727272727272727
77,18,81,High,Low,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,Neutral,3.0,No,High School,Moderate,Female,65,0.2222222222222222
78,21,72,Medium,Medium,Yes,5,57,Medium,Yes,1,High,Medium,Public,Neutral,5.0,Yes,College,Moderate,Male,64,0.2916666666666667
79,8,61,Medium,Medium,Yes,7,54,Medium,Yes,1,High,Medium,Public,Positive,3.0,No,College,Near,Male,60,0.13114754098360656
80,19,69,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,Public,Negative,2.0,No,High School,Near,Male,65,0.2753623188405797
81,22,71,High,Medium,No,6,79,High,Yes,1,Low,Low,Public,Positive,3.0,No,High School,Near,Male,66,0.30985915492957744
82,29,78,High,High,Yes,4,93,Low,Yes,5,Medium,High,Public,Neutral,3.0,No,College,Near,Male,74,0.3717948717948718
83,17,67,Medium,Medium,Yes,5,52,High,Yes,2,Medium,Medium,Private,Negative,3.0,No,High School,Far,Female,62,0.2537313432835821
84,15,95,Medium,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,Positive,4.0,No,College,Moderate,Male,70,0.15789473684210525
85,17,88,Medium,High,Yes,7,94,Low,Yes,0,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Male,69,0.19318181818181818
86,25,63,Medium,High,Yes,7,72,Medium,Yes,3,Medium,High,Private,Negative,4.0,No,College,Far,Male,67,0.3968253968253968
87,22,86,Low,Low,No,6,54,Medium,Yes,2,Medium,Medium,Public,Neutral,0.0,No,High School,Moderate,Male,64,0.2558139534883721
88,17,86,Medium,High,No,5,97,High,Yes,3,High,Medium,Public,Neutral,3.0,No,College,Near,Male,71,0.19767441860465115
89,23,98,Medium,Low,Yes,7,54,Low,Yes,0,Medium,Medium,Public,Negative,3.0,No,College,Near,Female,68,0.23469387755102042
90,21,60,High,Medium,No,7,80,Medium,Yes,0,Medium,High,Public,Neutral,4.0,Yes,College,Near,Male,64,0.35
91,26,70,Medium,Low,Yes,8,75,Medium,Yes,1,Medium,Low,Private,Neutral,4.0,Yes,High School,Far,Female,63,0.37142857142857144
92,16,97,Medium,Medium,Yes,6,92,Low,Yes,0,High,Medium,Private,Positive,4.0,No,College,Near,Male,71,0.16494845360824742
93,18,97,High,Medium,Yes,4,75,Low,Yes,0,Low,Medium,Public,Positive,3.0,No,High School,Moderate,Male,69,0.18556701030927836
94,18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2.0,No,College,Near,Female,100,0.20224719101123595
95,11,91,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3.0,No,College,Moderate,Male,68,0.12087912087912088
96,22,64,Low,Medium,No,7,98,Low,No,1,Medium,Medium,Public,Negative,3.0,No,High School,Near,Male,62,0.34375
97,22,81,Medium,Medium,Yes,7,77,Low,Yes,2,Medium,Medium,Public,Positive,3.0,No,Postgraduate,Far,Female,68,0.2716049382716049
98,20,69,High,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,Positive,3.0,No,High School,Far,Male,66,0.2898550724637681
99,19,67,Low,Medium,No,5,92,High,Yes,0,Medium,Medium,Public,Positive,3.0,No,College,Near,Male,64,0.2835820895522388
100,12,92,Medium,Medium,No,4,92,High,Yes,2,Medium,High,Public,Neutral,3.0,Yes,High School,Moderate,Male,67,0.13043478260869565
101,17,65,Medium,High,Yes,8,66,Medium,Yes,1,High,High,Public,Neutral,4.0,Yes,Postgraduate,Moderate,Female,65,0.26153846153846155
102,18,79,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Private,Neutral,3.0,No,College,Far,Male,65,0.22784810126582278
103,15,98,High,Medium,No,6,58,High,Yes,0,Low,High,Public,Positive,3.0,No,College,Near,Male,69,0.15306122448979592
104,19,67,Medium,Medium,No,5,82,High,Yes,1,Low,Low,Private,Negative,3.0,No,High School,Near,Male,63,0.2835820895522388
105,22,99,Medium,Low,Yes,6,92,Low,Yes,3,Medium,Medium,Public,Negative,4.0,No,Postgraduate,Moderate,Male,72,0.2222222222222222
106,31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5.0,No,Postgraduate,Moderate,Male,76,0.31
107,21,82,Medium,High,Yes,7,66,High,Yes,3,Low,Medium,Public,Positive,3.0,Yes,College,Near,Female,69,0.25609756097560976
108,22,67,Medium,Medium,Yes,7,72,High,Yes,3,Low,High,Public,Positive,2.0,No,Postgraduate,Moderate,Female,67,0.3283582089552239
109,20,73,High,Medium,Yes,9,92,Medium,Yes,2,Medium,High,Public,Positive,3.0,No,College,Near,Male,69,0.273972602739726
110,8,77,High,Medium,Yes,6,87,Medium,Yes,0,Low,Medium,Public,Neutral,2.0,No,High School,Moderate,Male,63,0.1038961038961039
111,20,72,Medium,Medium,No,9,66,Medium,Yes,3,Low,High,Private,Positive,3.0,No,Postgraduate,Near,Male,67,0.2777777777777778
112,20,71,Low,High,Yes,7,62,High,Yes,2,Medium,Medium,Public,Negative,5.0,No,College,Near,Male,66,0.28169014084507044
113,35,99,High,High,Yes,7,85,Low,Yes,2,Medium,High,Private,Neutral,2.0,No,Postgraduate,Near,Female,79,0.35353535353535354
114,19,66,Medium,Medium,No,8,74,Medium,Yes,1,High,Medium,Public,Neutral,3.0,No,High School,Near,Female,64,0.2878787878787879
115,22,89,High,High,Yes,6,80,Medium,Yes,1,High,High,Public,Positive,3.0,No,High School,Near,Female,73,0.24719101123595505
116,20,60,Low,High,No,7,82,High,Yes,2,Low,High,Public,Positive,4.0,Yes,High School,Near,Male,63,0.3333333333333333
117,13,84,Medium,Medium,No,5,78,Medium,Yes,1,Low,High,Public,Positive,2.0,No,High School,Near,Male,65,0.15476190476190477
118,27,97,Low,High,Yes,8,81,Medium,Yes,0,High,Medium,Public,Positive,5.0,No,High School,Near,Female,73,0.27835051546391754
119,25,72,High,High,Yes,8,94,Low,Yes,2,Low,Medium,Private,Positive,4.0,No,College,Moderate,Female,70,0.3472222222222222
120,25,67,High,Medium,No,9,93,High,Yes,2,Low,High,Public,Positive,3.0,Yes,High School,Near,Female,68,0.373134328358209
121,15,86,Medium,Medium,Yes,7,57,Medium,Yes,1,Medium,Medium,Public,Negative,3.0,No,College,Near,Male,65,0.1744186046511628
122,28,89,Low,High,Yes,9,79,High,Yes,0,Low,Medium,Private,Positive,1.0,No,College,Moderate,Female,71,0.3146067415730337
123,12,88,Low,Medium,No,6,72,Low,Yes,2,Medium,Medium,Public,Positive,2.0,No,College,Far,Male,64,0.13636363636363635
124,24,73,Medium,High,Yes,8,64,Medium,Yes,4,High,Medium,Private,Neutral,3.0,Yes,College,Moderate,Male,68,0.3287671232876712
125,33,70,Medium,Medium,Yes,6,82,Low,Yes,1,Low,High,Public,Neutral,4.0,No,College,Near,Male,69,0.4714285714285714
126,14,98,Medium,Medium,No,7,76,Medium,Yes,0,Medium,High,Private,Positive,4.0,No,College,Moderate,Female,69,0.14285714285714285
127,17,97,Medium,Medium,No,8,89,Medium,Yes,1,Low,,Public,Neutral,4.0,No,High School,Far,Male,69,0.17525773195876287
128,21,78,Medium,Medium,Yes,10,55,Medium,Yes,1,High,Low,Private,Positive,2.0,No,College,Near,Male,67,0.2692307692307692
129,17,94,Low,Medium,Yes,8,65,Low,Yes,4,Medium,Medium,Public,Neutral,6.0,No,High School,Far,Female,68,0.18085106382978725
130,11,78,Medium,High,Yes,8,51,Medium,Yes,2,Low,Medium,Public,Neutral,3.0,No,Postgraduate,Near,Male,64,0.14102564102564102
131,20,77,Medium,Medium,No,6,87,Low,Yes,0,Low,High,Public,Positive,4.0,No,High School,Near,Female,66,0.2597402597402597
132,14,66,High,Low,No,7,96,Medium,Yes,3,Low,High,Public,Negative,3.0,No,High School,Near,Male,63,0.21212121212121213
133,23,77,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Public,Neutral,2.0,No,High School,Moderate,Male,66,0.2987012987012987
134,14,81,Medium,Medium,No,9,81,Medium,Yes,1,Low,High,Private,Negative,3.0,No,Postgraduate,Near,Female,66,0.1728395061728395
135,29,61,Medium,High,Yes,7,52,Low,Yes,3,Low,Medium,Private,Positive,3.0,No,College,Near,Female,67,0.47540983606557374
136,15,78,High,High,No,9,75,Low,Yes,1,Low,Medium,Public,Negative,1.0,No,High School,Near,Male,65,0.19230769230769232
137,18,91,Low,Medium,Yes,5,76,Medium,Yes,1,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Female,68,0.1978021978021978
138,25,87,Medium,Low,No,9,52,High,Yes,1,Low,High,Private,Positive,2.0,No,High School,Near,Male,68,0.28735632183908044
139,13,85,High,Medium,No,6,89,Medium,Yes,0,High,Medium,Private,Neutral,1.0,Yes,High School,Near,Male,65,0.15294117647058825
140,21,96,Medium,Medium,No,8,64,High,Yes,2,Medium,High,Public,Neutral,0.0,No,College,Near,Male,71,0.21875
141,28,61,Medium,High,No,6,86,High,Yes,1,Low,Medium,Private,Negative,3.0,Yes,Postgraduate,Far,Male,65,0.45901639344262296
142,10,82,Medium,Low,No,8,70,Medium,Yes,3,Low,High,Public,Positive,1.0,Yes,Postgraduate,Near,Female,64,0.12195121951219512
143,21,91,High,Medium,No,6,100,Medium,Yes,0,High,Medium,Private,Neutral,2.0,No,Postgraduate,Near,Female,72,0.23076923076923078
144,22,82,Medium,Medium,No,9,61,Medium,Yes,2,Low,Medium,Public,Negative,2.0,Yes,High School,Near,Female,65,0.2682926829268293
145,25,73,Medium,High,No,8,53,High,No,0,Low,High,Private,Negative,5.0,No,Postgraduate,Near,Female,66,0.3424657534246575
146,13,65,Low,High,No,6,99,Medium,Yes,0,Low,Medium,Private,Negative,4.0,No,High School,Near,Male,61,0.2
147,12,96,Low,High,Yes,8,62,Medium,Yes,2,Medium,High,Public,Negative,3.0,No,College,Near,Female,68,0.125
148,23,79,High,High,Yes,8,82,Low,Yes,3,Medium,Medium,Public,Negative,3.0,Yes,Postgraduate,Moderate,Female,69,0.2911392405063291
149,22,95,Medium,High,Yes,6,69,Medium,Yes,1,Low,Medium,Public,Positive,3.0,No,College,Near,Female,72,0.23157894736842105
150,22,83,Medium,High,Yes,5,82,Medium,Yes,2,Low,High,Public,Positive,3.0,No,Postgraduate,Near,Female,71,0.26506024096385544
151,22,87,High,High,No,5,80,Low,Yes,2,Low,High,Public,Negative,3.0,No,High School,Near,Female,70,0.25287356321839083
152,16,92,Medium,High,Yes,5,85,Low,Yes,1,Low,Medium,Public,Neutral,2.0,No,High School,Moderate,Male,68,0.17391304347826086
153,21,86,Low,Medium,Yes,5,51,Medium,Yes,2,Low,High,Public,Positive,2.0,No,High School,Moderate,Female,67,0.2441860465116279
154,22,76,Medium,Medium,Yes,8,92,Medium,Yes,1,Low,High,Public,Neutral,4.0,No,High School,Near,Female,68,0.2894736842105263
155,16,81,Medium,Medium,Yes,8,74,Medium,Yes,3,Medium,Medium,Public,Positive,2.0,No,Postgraduate,Near,Female,68,0.19753086419753085
156,31,92,Medium,Medium,Yes,4,76,Medium,Yes,2,Medium,High,Public,Positive,4.0,Yes,High School,Far,Male,72,0.33695652173913043
157,23,75,Low,High,No,6,71,Low,Yes,0,Medium,Medium,Public,Neutral,2.0,No,College,Near,Male,65,0.30666666666666664
158,13,76,Medium,High,No,5,99,Low,Yes,2,Medium,Medium,Private,Positive,4.0,No,High School,Near,Female,66,0.17105263157894737
159,24,64,Medium,Medium,Yes,8,90,High,Yes,0,Low,High,Public,Negative,3.0,No,High School,Near,Male,65,0.375
160,14,97,Medium,Medium,Yes,6,66,Medium,Yes,2,Medium,Medium,Public,Negative,3.0,Yes,College,Near,Female,67,0.14432989690721648
161,25,64,Medium,High,No,5,89,Low,Yes,2,Medium,Medium,Public,Neutral,4.0,No,College,Far,Male,66,0.390625
162,27,86,Medium,Medium,No,7,72,Low,Yes,1,Medium,High,Public,Positive,4.0,No,High School,Far,Male,69,0.313953488372093
163,15,77,Medium,Medium,Yes,8,94,Low,Yes,0,High,High,Public,Positive,3.0,No,College,Moderate,Male,66,0.19480519480519481
164,26,76,Medium,High,Yes,6,52,Medium,Yes,4,High,Low,Public,Neutral,3.0,No,High School,Near,Male,69,0.34210526315789475
165,22,87,High,Low,Yes,7,68,Medium,No,0,Low,Medium,Public,Neutral,2.0,No,High School,Near,Male,67,0.25287356321839083
166,25,63,High,Medium,Yes,6,71,Medium,Yes,1,Medium,Low,Private,Positive,3.0,No,High School,Near,Male,66,0.3968253968253968
167,31,84,Medium,Medium,Yes,9,87,Medium,Yes,2,Low,Medium,Private,Neutral,3.0,No,College,Far,Male,71,0.36904761904761907
168,19,91,High,Low,No,6,59,Medium,Yes,5,Medium,High,Public,Neutral,4.0,No,College,Moderate,Male,70,0.2087912087912088
169,15,93,High,Medium,No,6,64,Medium,Yes,2,Medium,High,Public,Positive,4.0,No,Postgraduate,Near,Male,71,0.16129032258064516
170,15,67,Medium,Medium,Yes,7,86,High,Yes,1,High,Medium,Private,Positive,3.0,No,Postgraduate,Near,Male,66,0.22388059701492538
171,15,96,Medium,Medium,No,7,54,High,No,3,Medium,High,Public,Negative,2.0,No,High School,Near,Male,67,0.15625
172,20,86,High,Low,No,8,60,Medium,Yes,1,Medium,Medium,Public,Neutral,4.0,Yes,College,Far,Female,66,0.23255813953488372
173,22,95,Medium,High,No,9,88,Low,Yes,0,Low,High,Public,Positive,2.0,No,Postgraduate,Near,Male,72,0.23157894736842105
174,22,79,Medium,Medium,No,9,94,Medium,Yes,1,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,68,0.27848101265822783
175,25,82,Medium,Medium,No,6,86,Medium,No,3,Low,High,Public,Positive,3.0,No,High School,Near,Female,69,0.3048780487804878
176,20,97,Medium,Medium,Yes,7,76,Low,Yes,2,Low,Low,Private,Positive,3.0,No,Postgraduate,Near,Male,71,0.20618556701030927
177,29,96,Medium,Medium,Yes,9,55,Low,No,0,Medium,Medium,Public,Neutral,2.0,No,Postgraduate,Far,Female,70,0.3020833333333333
178,18,78,Medium,Medium,No,9,91,High,Yes,2,High,Low,Public,Neutral,4.0,No,College,Far,Female,67,0.23076923076923078
179,36,71,Medium,Medium,Yes,6,56,Medium,Yes,2,High,Medium,Public,Positive,2.0,No,High School,Far,Male,69,0.5070422535211268
180,24,76,Low,High,No,8,69,Low,Yes,2,Medium,Medium,Public,Neutral,1.0,No,High School,Moderate,Male,65,0.3157894736842105
181,15,76,High,High,No,8,53,Medium,Yes,1,Low,Medium,Public,Neutral,4.0,No,College,Near,Male,65,0.19736842105263158
182,14,71,Medium,Medium,Yes,8,85,Low,Yes,2,Medium,High,Public,Neutral,4.0,No,High School,Near,Male,64,0.19718309859154928
183,23,71,Low,Low,Yes,9,75,Low,Yes,1,Low,Medium,Public,Negative,2.0,No,College,Near,Male,63,0.323943661971831
184,19,94,Low,Medium,Yes,5,95,Medium,Yes,3,Low,Low,Public,Positive,2.0,No,High School,Moderate,Male,69,0.20212765957446807
185,24,63,Medium,Low,Yes,6,57,Medium,Yes,1,Low,High,Private,Neutral,5.0,No,College,Near,Female,64,0.38095238095238093
186,23,87,High,High,Yes,8,91,High,Yes,0,High,Medium,Private,Positive,3.0,No,High School,Moderate,Male,72,0.26436781609195403
187,20,67,Low,Medium,Yes,7,76,Medium,Yes,0,Medium,Medium,Public,Neutral,4.0,No,High School,Near,Male,63,0.29850746268656714
188,15,74,Low,High,Yes,4,68,Low,Yes,3,Low,Medium,Public,Positive,3.0,No,High School,Near,Female,64,0.20270270270270271
189,11,62,Medium,High,Yes,5,82,Medium,Yes,3,High,Medium,Private,Neutral,4.0,No,College,Moderate,Male,64,0.1774193548387097
190,17,71,Medium,Medium,Yes,8,90,Medium,Yes,5,Medium,Medium,Public,Positive,1.0,No,Postgraduate,Far,Male,67,0.23943661971830985
191,25,91,Medium,Medium,No,8,72,Low,Yes,2,Medium,High,Public,Positive,0.0,No,Postgraduate,Near,Male,71,0.27472527472527475
192,21,95,Medium,Medium,No,5,62,High,Yes,1,Medium,Low,Public,Positive,4.0,No,High School,Near,Male,70,0.22105263157894736
193,13,69,Medium,Low,Yes,9,96,Low,Yes,0,High,Medium,Private,Neutral,4.0,No,High School,Far,Female,61,0.18840579710144928
194,21,79,Medium,High,Yes,7,66,Low,Yes,2,Low,Medium,Public,Negative,4.0,No,College,Moderate,Male,67,0.26582278481012656
